id,B,G,R,class
1,74,85,123,1
2,73,84,122,1
3,72,83,121,1
4,70,81,119,1
5,70,81,119,1
6,69,80,118,1
7,70,81,119,1
8,70,81,119,1
9,76,87,125,1
10,76,87,125,1
11,77,88,126,1
12,77,88,126,1
13,77,88,126,1
14,78,89,127,1
15,77,85,125,1
16,78,86,126,1
17,78,86,126,1
18,77,85,125,1
19,76,84,124,1
20,77,85,125,1
21,80,88,128,1
22,83,91,131,1
23,83,91,131,1
24,84,92,132,1
25,84,92,132,1
26,83,91,131,1
27,80,88,128,1
28,78,86,126,1
29,78,86,126,1
30,79,87,127,1
31,78,86,126,1
32,79,87,127,1
33,81,89,129,1
34,82,90,130,1
35,83,91,131,1
36,82,90,130,1
37,81,89,129,1
38,81,89,129,1
39,84,92,132,1
40,81,89,129,1
41,79,87,127,1
42,79,87,127,1
43,82,90,130,1
44,83,91,131,1
45,82,90,130,1
46,78,88,128,1
47,79,89,129,1
48,78,90,130,1
49,79,91,131,1
50,80,92,132,1
51,80,92,132,1
52,80,92,132,1
53,80,92,132,1
54,79,91,131,1
55,83,95,135,1
56,82,94,134,1
57,81,93,133,1
58,80,92,132,1
59,78,90,130,1
60,77,89,129,1
61,76,88,128,1
62,73,88,127,1
63,75,90,129,1
64,75,90,129,1
65,78,88,128,1
66,79,87,127,1
67,80,86,129,1
68,78,85,128,1
69,75,84,128,1
70,69,85,128,1
71,61,82,127,1
72,152,179,223,1
73,144,176,219,1
74,146,180,223,1
75,156,185,230,1
76,164,190,236,1
77,165,189,235,1
78,168,190,238,1
79,168,189,244,1
80,170,190,247,1
81,175,195,250,1
82,180,201,253,1
83,187,203,255,1
84,192,207,255,1
85,194,208,255,1
86,196,209,253,1
87,205,214,255,1
88,206,215,253,1
89,207,215,252,1
90,210,217,250,1
91,215,217,251,1
92,217,220,251,1
93,220,222,252,1
94,221,224,255,1
95,222,228,255,1
96,218,226,255,1
97,215,223,255,1
98,213,221,255,1
99,211,219,255,1
100,210,218,255,1
101,211,219,255,1
102,211,219,255,1
103,210,218,255,1
104,211,219,255,1
105,211,219,255,1
106,211,219,255,1
107,211,219,255,1
108,210,218,255,1
109,209,217,254,1
110,207,216,253,1
